PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse, TableAlias, TableName, JoinText
reason_text,Chap_InvoiceLines,0,reason_text,,String,String,,0,ii,inv_item_mst,BaseTable
RecordDate,Chap_InvoiceLines,0,RecordDate,,Date,Date,,0,ii,inv_item_mst,BaseTable
RegionName,Chap_InvoiceLines,0,RegionName,,String,String,,0,rn,Chap_RegionNames,rn.Region = cu.Uf_SalesRegion
restock_fee_amt,Chap_InvoiceLines,0,restock_fee_amt,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
RowPointer,Chap_InvoiceLines,0,RowPointer,,GUID,GUID,,0,ii,inv_item_mst,BaseTable
sales_acct,Chap_InvoiceLines,0,sales_acct,,String,String,,0,ii,inv_item_mst,BaseTable
sales_acct_unit1,Chap_InvoiceLines,0,sales_acct_unit1,,String,String,,0,ii,inv_item_mst,BaseTable
sales_acct_unit2,Chap_InvoiceLines,0,sales_acct_unit2,,String,String,,0,ii,inv_item_mst,BaseTable
sales_acct_unit3,Chap_InvoiceLines,0,sales_acct_unit3,,String,String,,0,ii,inv_item_mst,BaseTable
sales_acct_unit4,Chap_InvoiceLines,0,sales_acct_unit4,,String,String,,0,ii,inv_item_mst,BaseTable
SalesRegion,Chap_InvoiceLines,0,Uf_SalesRegion,,String,String,,0,cu,customer_mst,ih.cust_num = cu.cust_num AND ih.cust_seq = cu.cust_seq
ShipToCity,Chap_InvoiceLines,0,city,,String,String,,0,ca,custaddr_mst,ih.cust_num = ca.cust_num AND ih.cust_seq = ca.cust_seq
ShipToName,Chap_InvoiceLines,0,name,,String,String,,0,ca,custaddr_mst,ih.cust_num = ca.cust_num AND ih.cust_seq = ca.cust_seq
ShipToState,Chap_InvoiceLines,0,state,,String,String,,0,ca,custaddr_mst,ih.cust_num = ca.cust_num AND ih.cust_seq = ca.cust_seq
site_ref,Chap_InvoiceLines,0,site_ref,,String,String,,0,ii,inv_item_mst,BaseTable
Slsman,Chap_InvoiceLines,0,slsman,,String,String,,0,cu,customer_mst,ih.cust_num = cu.cust_num AND ih.cust_seq = cu.cust_seq
tax_code1,Chap_InvoiceLines,0,tax_code1,,String,String,,0,ii,inv_item_mst,BaseTable
tax_code2,Chap_InvoiceLines,0,tax_code2,,String,String,,0,ii,inv_item_mst,BaseTable
tax_date,Chap_InvoiceLines,0,tax_date,,Date,Date,,0,ii,inv_item_mst,BaseTable
UpdatedBy,Chap_InvoiceLines,0,UpdatedBy,,String,String,,0,ii,inv_item_mst,BaseTable
